method,domain,recall_at_5,recall_at_10,ndcg_at_10
graph,essential_skills,0.06166348644323981,0.11127298244057551,0.22741085571404548
embedding,essential_skills,0.05890697987538283,0.10425981150974359,0.21030974360119548
graph,transferable_skills,0.07617190600936749,0.13462765702851795,0.27491288396153346
embedding,transferable_skills,0.06984090710984739,0.12324370239879742,0.2541596694137081
graph,knowledge,0.1466423640782828,0.25075791757919397,0.5197209901962828
embedding,knowledge,0.14980579137267436,0.25185904926787833,0.5236434926724952
